title,genre,image,details,credits,opening_date,cinema_name,status,mtrcb_ratings,score,trailer_link
Mr. & Mrs. Cruz,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16383.jpg,"ANG LARAWAN is the musical based on Nick Joaquins play A PORTRAIT OF THE ARTIST AS FILIPINO. In this story about art versus pragmatism set in 1941, two unmarried sisters, Candida and Paula, are in dire straits following the hibernation of their painter-father Don Lorenzo Marasigan. Their father gives them his last masterpiece, which could fetch a huge amount of money and yet the sisters refuse to part with it. That is until their boarder, Tony Javier, presents an irresistible proposition.","Main Cast: JC Santos, Ryza Cenon
Director: Sigrid Andrea Bernardo
Writer: Sigrid Andrea Bernardo
Released By: Viva Films / IdeaFirst Company",opened,"Alabang Town Center Cinema 2,Ali Mall Cineplex 4,Ayala Fairview Terraces Cinema 5,Ayala Malls Cloverleaf Cinema 4,Ayala Malls Feliz Cinema 2,Ayala Malls South Park Cinema 3,Century City Mall Cinema 1,Commercenter Cinemas Cinema 2,Eastwood Citywalk 2 Cinema 4,Evia Lifestyle Center Cinema 4,Festival Cinema 1,Fisher Mall Cinema 5,Forum Robinsons Cinema 2,Gateway Cineplex 1,Glorietta 4 Cinema 7,Greenhills Theater Mall Cinema 1,Isetann Cinerama 1,Market Market Cinema 4,One Mall Sky Theater Cinema 3,Robinsons Galleria Cinema 5,Robinsons Magnolia Cinema 4,Robinsons Manila Cinema 6 (Pedro Gil),Robinsons Metro East Cinema 4,Robinsons Place Las Piñas Cinema 3,SM Center Sangandaan Cinema 4,SM City Bicutan Cinema 2,SM City East Ortigas Digital Cinema 3,SM City Fairview Cinema 5,SM City Manila Cinema 8,SM City Marikina Cinema 7,SM City North EDSA Cinema 6,SM City Novaliches Cinema 1,SM City Sta. Mesa Cinema 8,SM City Sucat Cinema 4,SM Mall of Asia Cinema 5,SM Megamall Cinema 9,SM Southmall Cinema 8,Starmall Alabang Cinema 1,Starmall EDSA-Shaw Cinema 3,TriNoma Cinema 1,Vista Mall Las Piñas Cinema 4,Vista Mall Taguig Cinema 3,Waltermart Makati Cinema - 4",showing,R-13,3.0 - critic's rating | read review, 
The Promise,"Horror, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16429.jpg,A serial killer in Payatas leaves the bodies of young boys in the dump as two Jesuit priests try to solve the murders.,"Main Cast: Apichaya Thongkham, Namthip Jongrachatawiboon, Thunyaphat Pattarateerachaicharoen
Director: Sophon Sakdaphisit
",opened,,showing,R-13,, 
Ang Dalawang Mrs. Reyes,Comedy,https://cdn3.clickthecity.com/images/movies/poster/215/16386.jpg,"Amidst the violence and poverty happening around him, Hendrix dreams of becoming a rapper. But he needs to find the right words to penetrate the hiphop world through the help of seasoned poet Doc.","Main Cast: Angelica Panganiban, Judy Ann Santos
Director: Jun Lana
Released By: Star Cinema",opened,"Alabang Town Center Cinema 4,Ali Mall Cineplex 3,Ayala Fairview Terraces Cinema 2,Ayala Malls Cloverleaf Cinema 1,Ayala Malls Feliz Cinema 3,Ayala Malls South Park Cinema 2,Blue Wave Cinema 2,Cash & Carry Cinema 2,Century City Mall Cinema 2,Eastwood Citywalk 2 Cinema 1,Festival Cinema 3,Fisher Mall VIP Parkway Cinema,Forum Robinsons Cinema 1,Gateway Cineplex 6,Glorietta 4 Cinema 6,Greenhills Theater Mall Cinema 2,Lucky Chinatown Cinema 1,Market Market Cinema 5,Newport Cinema 4,Power Plant Dolby Atmos Cinema 3,Robinsons Galleria Cinema 9,Robinsons Magnolia Cinema 3,Robinsons Manila Cinema 7 (Pedro Gil),Robinsons Metro East Cinema 2,Robinsons Place Las Piñas Cinema 3,SM Aura Premier Director's Club 1,SM Center Sangandaan Cinema 1,SM City BF Parañaque Cinema 2,SM City Bicutan Cinema 1,SM City East Ortigas Digital Cinema 2,SM City Fairview Cinema 11,SM City Manila Cinema 9,SM City Marikina Cinema 3,SM City North EDSA Cinema 9,SM City Novaliches Cinema 2,SM City Sta. Mesa Cinema 3,SM City Sucat Cinema 1,SM Light Mall Cinema 3,SM Mall of Asia Cinema 4,SM Megamall Cinema 8,SM Muntinlupa Cinema 1,SM San Lazaro Cinema 1,SM Southmall Cinema 4,SM Valenzuela Cinema 1,Santolan Town Plaza Power Plant Cinema 4,Shangri-la Plaza Cinema 4,TriNoma Cinema 2,Venice Cineplex Cinema 2,Waltermart Makati Cinema - 2",showing,R-13,"
Cindy Reyes and Lianne Reyes is a pair of devoted wives who discovers their husbands are in a secret, gay relationship.
", 
Ang Larawan,"Comedy, Drama, Musical",https://cdn3.clickthecity.com/images/movies/poster/215/16361.jpg,"Days before graduation, two college best friends go on one last road trip where they settle how they really feel for each other. But to put it upfront, this is not that kind of a love story.","Main Cast: Joanna Ampil, Paulo Avelino, Rachel Alejandro
Director: Loy Arcenas
Writer: Rolando Tinio
Released By: Solar Pictures",opened,Cinema '76,showing,PG,"
ANG LARAWAN is the musical based on Nick Joaquins play A PORTRAIT OF THE ARTIST AS FILIPINO. In this story about art versus pragmatism set in 1941, two unmarried sisters, Candida and Paula, are in dire straits following the hibernation of their painter-father Don Lorenzo Marasigan. Their father gives them his last masterpiece, which could fetch a huge amount of money and yet the sisters refuse to part with it. That is until their boarder, Tony Javier, presents an irresistible proposition.
",https://www.clickthecity.com/movies/video/3883
Smaller and Smaller Circles,"Crime, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16377.jpg,"A teenage boy in search of his missing family enters a world, monsters, magic and and dangerous artifacts.","Main Cast: Nonie Buencamino, Sid Lucero
Director: Raya Martin
Writer: Felisa Batacan, Raymond Lee, Ria Limjap
Released By: Tuko Film Productions / Buchi Boy Films",opened,Cinema '76,showing,R-13,"
A serial killer in Payatas leaves the bodies of young boys in the dump as two Jesuit priests try to solve the murders.
",https://www.clickthecity.com/movies/video/3876
Respeto,Drama,https://cdn3.clickthecity.com/images/movies/poster/215/16167.jpg,,"Main Cast: Abra .
Director: Alberto Monteras II
Writer: Alberto Monteras II, Njel de Mesa
Released By: Arkeofilms",opened,Cinema '76,showing,R-13,"
Amidst the violence and poverty happening around him, Hendrix dreams of becoming a rapper. But he needs to find the right words to penetrate the hiphop world through the help of seasoned poet Doc.
",https://www.clickthecity.com/movies/video/3846
Birdshot,"Drama, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16175.jpg,,"Main Cast: Arnold Reyes, John Arcilla, Mary Joy Apostol
Director: Mikhail Red
Writer: Mikhail Red
",opened,Cinema '76,showing,R-13,"
While venturing deep in the mountains, fifteen-year-old Maya unknowingly kills an endangered Philippine Eagle, leading the authorities to start a manhunt to find the eagle killer. Forced to hide in the forest to elude the police, she hears the call of an eagle. She follows its call to a place where a grim secret unravels.
", 
Instalado,Drama,https://cdn3.clickthecity.com/images/movies/poster/215/16149.jpg,,"Main Cast: Francis Magundayao, Jun Jun Quintana, McCoy De Leon
Director: Jason Paul Laxamana
Writer: Jason Paul Laxamana
",opened,"SM City Fairview Cinema 12,SM City Manila Cinema 12,SM City North EDSA Cinema 7,SM City Sta. Mesa Cinema 10,SM Mall of Asia Cinema 1,SM Megamall Cinema 5,SM Southmall Cinema 5",showing,NULL,, 
"I'm Drunk, I Love You.","Comedy, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16003.jpg,,"Main Cast: Jasmine Curtis-Smith, Maja Salvador, Paulo Avelino
Director: JP Habac
Writer: Giancarlo Abrahan, JP Habac
Film ProducerArtikulo Uno Production , Buchi Boy Entertainment , Tuko Film Productions 
Released By: Solar Films",opened,Cinema '76,showing,PG,"
Days before graduation, two college best friends go on one last road trip where they settle how they really feel for each other. But to put it upfront, this is not that kind of a love story.
",https://www.clickthecity.com/movies/video/3762
Truth,"Biography, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/15585.jpg,,"Main Cast: Cate Blanchett, Robert Redford, Topher Grace
Director: James Vanderbilt
Writer: James Vanderbilt, Mary Mapes
Released By: Captive Cinema Distribution",opened,Isetann Cinerama 3,showing,PG,, 
The Adventurer: The Curse of the Midas Box,"Adventure, Family, Fantasy",https://cdn3.clickthecity.com/images/movies/poster/215/14064.jpg,,"Main Cast: Aneurin Barnard, Lena Headey, Michael Sheen
Director: Jonathan Newman
Writer: Christian Taylor, G.P. Taylor, Matthew Huffman
Released By: Captive Cinema Distribution",opened,SM City Manila Cinema 10,showing,PG,2.0 - critic's rating | read review, 
The Greatest Showman,"Biography, Drama, Musical",https://cdn3.clickthecity.com/images/movies/poster/215/16137.jpg,"A musical that tells the story of P.T. Barnum, how Barnum & Bailey Circus began before it became a worldwide sensation and the lives of its attractions.","Main Cast: Hugh Jackman
Director: Michael Gracey
Writer: Bill Condon, Jenny Bicks
Released By: 20th Century Fox",opened,"Alabang Town Center Cinema 1,Ali Mall Cineplex 2,Ayala Fairview Terraces Cinema 4,Ayala Malls Cloverleaf Cinema 3,Ayala Malls Feliz Cinema 1,Ayala Malls South Park Cinema 2,Ayala Malls The 30th Cinema 3,Ayala Malls Vertis North Cinema 2,Blue Wave Cinema 1,Bonifacio High Street Cinema 2 (ATMOS),Bonifacio High Street Cinema 3,Cash & Carry Cinema 1,Century City Mall Cinema 4,Century City Mall Premier Cinema 3,Commercenter Cinemas Cinema 3,Eastwood Citywalk 2 Cinema 2,Eastwood Mall Ultra Cinema 7,Evia Lifestyle Center Cinema 4,Evia Lifestyle Center VIP Cinema 2,Festival Cinema 2,Fisher Mall Cinema 2,Fisher Mall VIP Cinema 1,Forum Robinsons Cinema 2,Gateway Cineplex 10 (Platinum Cinema),Gateway Cineplex 5,Glorietta 4 Cinema 6,Greenbelt 3 Cinema 2,Greenbelt Cinema 2,Greenhills Dolby Atmos Cinema 7,Greenhills Promenade Cinema 5,Lucky Chinatown Cinema 4,Market Market Cinema 1,Newport Cinema 3,Power Plant Dolby Atmos Cinema 2,Power Plant Dolby Atmos Cinema 6,Power Plant VIP Cinema 8,Robinsons Galleria Cinema 1,Robinsons Magnolia Cinema 1,Robinsons Manila Cinema 2 (Midtown),Robinsons Metro East Cinema 1,Robinsons Place Las Piñas Cinema 2,S Maison Director's Club Cinema 2,S Maison Director's Club Cinema 3,SM Aura Premier Cinema 1,SM Aura Premier Director's Club 1,SM Aura Premier IMAX,SM Center Sangandaan Cinema 3,SM City BF Parañaque Director's Club 3,SM City Bicutan Cinema 4,SM City Fairview Cinema 6,SM City Manila Cinema 5,SM City Marikina Cinema 7,SM City North EDSA - The Block Cinema 3,SM City North EDSA IMAX,SM City Novaliches Cinema 2,SM City Sta. Mesa Cinema 9,SM City Sucat Cinema 4,SM Light Mall Cinema 1,SM Mall of Asia Cinema 5,SM Mall of Asia IMAX,SM Megamall Cinema 4,SM Megamall IMAX,SM Muntinlupa Cinema 4,SM San Lazaro Cinema 3,SM Southmall Cinema 3,SM Southmall IMAX,SM Valenzuela Cinema 4,Santolan Town Plaza Power Plant Cinema 1,Shangri-la Plaza Cinema 1,Shangri-la Plaza Cinema 3,Starmall Alabang Cinema 3,TriNoma Cinema 7,U.P. Town Center Cinema 1,U.P. Town Center Cinema 2,Uptown Mall Cinema 2,Venice Cineplex Cinema 2,Waltermart Makati Cinema - 1",showing,PG,3.5 - critic's rating | read review,https://www.clickthecity.com/movies/video/3875
A Better Tomorrow,"Action, Crime, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16430.jpg,"A former smuggler who attempts to start his life anew and fix his relationship with his estranged brother, who is an up-and-coming star in the police department's narcotics division.","Main Cast: Darren Wang, Kai Wang, Ma Tian Yu
Director: Ding Sheng
Writer: Ding Sheng
Released By: Star Cinema",opened,"Ali Mall Cineplex 3,Ayala Malls Cloverleaf Cinema 2,Festival Cinema 7,Gateway Cineplex 6,Greenhills Theater Mall Cinema 1,SM City Fairview Cinema 4,SM City Manila Cinema 12,SM City Marikina Cinema 6,SM City North EDSA Cinema 10,SM Mall of Asia Cinema 7,SM Megamall Cinema 7,SM San Lazaro Cinema 2",showing,PG,"
A former smuggler who attempts to start his life anew and fix his relationship with his estranged brother, who is an up-and-coming star in the police department's narcotics division.
", 
Call Me By Your Name,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16356.jpg,"Set in Northern Italy in 1983, it shows the romantic relationship between Elio, a 17-year-old living in Italy and his father's American assistant, Oliver.","Main Cast: Armie Hammer, Timothée Chalamet
Director: Luca Guadagnino
Writer: André Aciman, James Ivory
Released By: Columbia Pictures",opened,"Ayala Malls The 30th Cinema 1,Bonifacio High Street Cinema 1 (ATMOS),Greenbelt 3 Cinema 1,TriNoma Cinema 5",showing,R-16,"
Set in Northern Italy in 1983, it shows the romantic relationship between Elio, a 17-year-old living in Italy and his father's American assistant, Oliver.
", 
